deal_id,deal_name,amount,deal_stage,close_date,company_id,contact_id,is_won,deal_type,region,discount_percentage
23,Horizon Enterprises Platform Deal,"$69,712",decisionmakerboughtin,2022-05-03,166,297,0,New Business,AMER,20
24,Meridian Dynamics Consulting,21947.25,contractsent,2022/01/18,184,240,False,Upsell,APAC,5
25,Duff Partners Licensing Deal,147939,contractsent,27/08/2023,151,28,False,New Business,APAC,20
26,Gringotts Networks - Q2 Expansion,134362.8,closedwon,2021-09-24,32,63,1,Upsell,APAC,25
27,Vertex LLC Support Contract,76364.87,appointmentscheduled,2023/02/08,4,249,1,New Business,APAC,15
28,Horizon Ventures Upgrade,122963.96,closedlost,14/02/2023,121,280,0,Upsell,AMER,15
29,Meridian LLC Distribution Agreement,63117.57,closedlost,2022-07-13,52,302,0,New Business,APAC,15%
30,Wonka Holdings - Q4 Expansion,,appointmentscheduled,2021-08-24,298,156,False,Upsell,APAC,20
31,Wayne Labs Licensing Deal,118217.83,qualifiedtobuy,2023-12-19,179,362,False,Renewal,LATAM,0
32,Wonka Co Platform Deal,"$127,952.65",qualifiedtobuy,2023-10-27,193,242,False,New Business,LATAM,25
33,Anchor Partners Platform Deal,56773.99,contractsent,04/05/2023,122,54,True,New Business,AMER,10%
34,Meridian Group Support Contract,29652.08,decisionmakerboughtin,04/2021,69,327,False,New Business,AMER,0
35,Soylent Corp Licensing Deal,54116.29,decisionmakerboughtin,2021-04-19,185,397,No,Upsell,EMEA,15
36,Initech Corp Renewal,"$81,540",closedwon,2022-02-04,37,292,1,Renewal,LATAM,25
37,Fusion Technologies Renewal,"$104,930",closedwon,2023-09-10,81,148,1,Renewal,EMEA,0
38,Anchor Networks - Q2 Expansion,85014.57,qualifiedtobuy,2023-01-08,172,392,False,New Business,APAC,0
39,Horizon Inc Distribution Agreement,46209.33,decisionmakerboughtin,2021/08/17,42,283,True,Upsell,EMEA,0%
40,Fusion Networks Licensing Deal,65028.08,closedwon,2022-01-13,101,274,1,Upsell,EMEA,15%
41,Stellar Global Support Contract,133361.97,contractsent,2021/02/19,189,181,True,New Business,EMEA,25%
42,Prism Technologies Distribution Agreement,60274.98,decisionmakerboughtin,2023-11-08,30,65,Yes,New Business,EMEA,10
43,Beacon Studio Distribution Agreement,"$81,671",decisionmakerboughtin,2023-04-17,183,113,False,Cross-sell,LATAM,10%
44,Nimbus Networks Upgrade,"$143,003.70",appointmentscheduled,2021-04-23,267,119,True,Renewal,APAC,20
45,Quantum Group Upgrade,"$65,231",contractsent,2022/08/02,44,31,No,New Business,APAC,0
46,Wonka Partners Support Contract,83440.83,decisionmakerboughtin,2022-12-24,173,135,False,Renewal,LATAM,15
47,Anchor Collective Platform Deal,13744.99,contractsent,2021-01-09,266,134,True,Renewal,APAC,20
48,Wayne Works Upgrade,70499.49,appointmentscheduled,2022-03-15,186,138,False,Cross-sell,AMER,15%
49,Vector Co Consulting,"$93,074.45",contractsent,08-05-2022,142,313,Yes,New Business,AMER,25
50,Stark Systems Support Contract,53646.92,closedlost,2022-05-01,163,22,0,Upsell,APAC,0%
51,Pied Piper Dynamics Support Contract,49654.54,decisionmakerboughtin,2021-11-14,262,40,False,Renewal,LATAM,25
52,Duff Partners - Q2 Expansion,77108.63,decisionmakerboughtin,2023-01-04,151,319,0,Renewal,AMER,15
53,Vector Group Renewal,8663.29,qualifiedtobuy,2023-12-04,77,196,False,Cross-sell,APAC,10%
54,Summit Labs Support Contract,54920.29,qualifiedtobuy,2023-04-15,125,169,True,New Business,APAC,25
55,Beacon Industries Platform Deal,13144.39,contractsent,2023-05-26,215,118,True,Upsell,LATAM,25
56,Titan Global - Q2 Expansion,"$4,565.79",appointmentscheduled,2023-02-05,93,233,False,Upsell,LATAM,15
57,Catalyst Holdings Upgrade,138187.83,decisionmakerboughtin,20/10/2023,286,124,False,Cross-sell,LATAM,25
58,Umbrella Systems Platform Deal,56111.21,closedlost,03/09/2023,245,359,0,Cross-sell,APAC,15%
59,Cyberdyne Collective Renewal,64576.74,decisionmakerboughtin,2023-09-17,144,396,True,Renewal,AMER,5%
60,Horizon Labs Upgrade,26228.79,appointmentscheduled,2021-05-09,108,221,True,Renewal,EMEA,5
61,Zenith Ventures Platform Deal,,closedwon,2021-09-18,106,283,1,New Business,APAC,5
62,Initech Dynamics Distribution Agreement,"$13,942",contractsent,2023/12/28,219,375,True,New Business,APAC,0
63,Nimbus Studio Platform Deal,15965.38,decisionmakerboughtin,2023-12-11,39,168,True,Renewal,AMER,20
64,Summit Inc - Q2 Expansion,28878.62,qualifiedtobuy,2023-04-09,19,325,True,Upsell,AMER,25
65,Nimbus Enterprises Licensing Deal,57663.24,contractsent,2023-03-02,110,2,True,Renewal,LATAM,20
66,Catalyst Labs Upgrade,17742.75,contractsent,2023-06-18,154,119,False,Renewal,LATAM,15
67,Ember LLC Distribution Agreement,132443.55,closedlost,2021-06-23,60,91,0,Cross-sell,LATAM,25%
68,Globex Ventures Licensing Deal,66850.78,closedwon,2022-05-22,260,111,1,New Business,APAC,15
69,Stark Dynamics Distribution Agreement,92382.29,qualifiedtobuy,2023-04-25,24,158,True,New Business,EMEA,15%
70,Stark Group Renewal,59933.42,closedwon,06-18-2021,181,393,1,Renewal,AMER,10
71,Pied Piper Corp - Q1 Expansion,43180,closedwon,2021-09-13,128,7,1,Upsell,EMEA,10
72,Horizon Systems Licensing Deal,111655.15,closedlost,2022/02/03,194,336,0,Upsell,EMEA,25
73,Nimbus Solutions Licensing Deal,65000.65,decisionmakerboughtin,2021-05-21,160,166,True,Cross-sell,APAC,15
74,Globex Ventures Licensing Deal,4708.89,contractsent,2023-12-04,260,126,False,Cross-sell,APAC,15
75,Vector Networks Renewal,13499.43,closedwon,2021-04-28,171,74,1,Cross-sell,AMER,0
76,Nimbus Solutions Consulting,82292.72,appointmentscheduled,05/2021,160,380,False,Upsell,APAC,15
77,Horizon Inc Licensing Deal,"$145,815",contractsent,09-24-2021,42,54,1,Cross-sell,AMER,25
78,Hooli Systems Licensing Deal,56373.14,decisionmakerboughtin,2023-11-09,281,215,Yes,Upsell,APAC,20
79,Duff Solutions Upgrade,107547.13,contractsent,2023-12-28,191,266,Yes,Renewal,LATAM,5%
80,Lantern Holdings Support Contract,"$70,835",closedlost,2021-09-15,3,160,0,Upsell,APAC,25%
81,Quantum Inc Upgrade,12543,closedwon,2022-05-18,146,219,1,Upsell,APAC,5
82,Compass Inc Licensing Deal,92767.19,closedwon,2023-10-09,268,301,1,Upsell,AMER,0
83,Wayne Systems Platform Deal,71281.67,qualifiedtobuy,2022/02/02,47,315,True,New Business,AMER,20
84,Meridian Enterprises Upgrade,125207.14,closedwon,10-27-2021,243,182,1,Cross-sell,LATAM,15
85,Meridian Collective Licensing Deal,84409.31,qualifiedtobuy,2022-11-12,62,286,Yes,Upsell,LATAM,10%
86,Anchor Solutions Distribution Agreement,55961.25,closedwon,2021-01-19,6,101,1,New Business,APAC,0
87,Oscorp Enterprises Upgrade,95203.77,closedlost,2021/10/27,204,23,0,Cross-sell,EMEA,0
88,Stark Collective Platform Deal,128825.66,appointmentscheduled,2021-08-21,79,362,True,Upsell,EMEA,10
89,Stark Systems Platform Deal,10161,closedwon,2021-11-13,163,364,1,Upsell,APAC,0%
90,Pied Piper Industries Licensing Deal,51876.42,closedlost,2023-01-10,102,353,0,New Business,LATAM,0%
91,Oscorp Partners Consulting,102452.7,qualifiedtobuy,06-15-2023,45,96,True,Upsell,AMER,10%
92,Nimbus Dynamics Platform Deal,"$66,500",contractsent,2022-04-06,92,143,0,Renewal,APAC,25
93,Quantum Co Licensing Deal,102620.65,closedwon,2023-04-23,88,19,1,Renewal,APAC,0
94,Pied Piper Technologies Upgrade,57308.61,appointmentscheduled,2022-03-15,112,240,True,New Business,APAC,25%
95,Summit Systems Licensing Deal,4240.75,decisionmakerboughtin,06/2021,5,82,True,Cross-sell,LATAM,25
96,Vertex Ventures Consulting,17070.44,contractsent,2021-04-25,130,371,False,Renewal,LATAM,20%
97,Catalyst Labs Support Contract,"$69,348.31",qualifiedtobuy,2021-05-26,154,306,True,Upsell,AMER,5
98,Horizon Ventures Licensing Deal,"$1,736.77",closedlost,2021-03-22,121,105,0,Cross-sell,LATAM,25%
99,Wonka Co Support Contract,64264.27,contractsent,2022-06-10,193,238,0,New Business,APAC,15
100,Nova Group Platform Deal,35280.95,decisionmakerboughtin,2023-10-25,14,114,True,New Business,AMER,10
101,Titan Global Platform Deal,125300.64,decisionmakerboughtin,2021/05/14,93,218,False,New Business,APAC,25
102,Oscorp Studio Platform Deal,60853.81,qualifiedtobuy,2023-08-01,208,7,False,Renewal,LATAM,10
103,Titan Dynamics Consulting,80225.03,closedlost,09-12-2022,231,258,0,New Business,AMER,0
104,Apex Studio Distribution Agreement,103271.76,appointmentscheduled,2021-08-15,133,102,True,Renewal,APAC,0
105,Beacon Studio - Q4 Expansion,60035,decisionmakerboughtin,2023-02-12,183,214,True,New Business,AMER,25%
106,Nimbus Holdings Distribution Agreement,22865.82,closedlost,2023/10/15,141,177,0,New Business,LATAM,20
107,Meridian Systems Licensing Deal,"$65,581.86",qualifiedtobuy,2023-11-24,155,217,False,Renewal,APAC,20
108,Summit Labs - Q3 Expansion,103640,closedwon,2022-04-25,125,356,1,New Business,LATAM,5
109,Atlas Corp - Q4 Expansion,"$95,593.64",closedlost,2021-05-09,209,107,0,New Business,APAC,5%
110,Vertex Group Licensing Deal,123571,closedwon,2022/08/18,236,302,1,Cross-sell,AMER,20
111,Nova Partners - Q1 Expansion,44481.63,closedlost,09/2022,131,207,0,Cross-sell,EMEA,5
112,Stark Group Licensing Deal,81101.31,appointmentscheduled,2023-12-16,181,290,False,New Business,EMEA,15%
113,Oscorp Collective Platform Deal,135168.38,closedlost,2022-09-14,293,149,0,Renewal,EMEA,25
114,Stark Systems Licensing Deal,43972.76,contractsent,2022-08-06,163,258,False,Renewal,LATAM,25%
115,Sirius Group Licensing Deal,12995.37,contractsent,2023-04-05,197,298,1,Cross-sell,EMEA,10
116,Nova Global Renewal,108735.96,appointmentscheduled,09-28-2023,242,351,False,Cross-sell,AMER,10%
117,Vertex Technologies Distribution Agreement,90997.01,qualifiedtobuy,2021-03-15,16,106,False,Upsell,AMER,15
118,Umbrella Global Licensing Deal,"$80,591",contractsent,12/2022,17,350,No,New Business,APAC,15
119,Umbrella LLC Licensing Deal,"$17,655",contractsent,2021-05-25,21,187,True,Renewal,AMER,5
120,Atlas Group Renewal,67256.14,closedlost,2022-04-25,50,169,0,Renewal,APAC,20%
121,Compass Inc - Q2 Expansion,107248.75,decisionmakerboughtin,2022-12-06,268,148,False,Upsell,AMER,5
122,Wonka Ventures Support Contract,130664.65,qualifiedtobuy,2023-01-09,132,327,True,Cross-sell,AMER,10
123,Apex Partners Consulting,47086.93,contractsent,13/08/2021,257,161,False,Renewal,EMEA,25%
124,Quantum Labs - Q2 Expansion,76605.06,closedlost,22/06/2021,292,327,0,New Business,EMEA,15
125,Wonka Ventures Platform Deal,111723.46,qualifiedtobuy,2021-01-20,132,379,False,New Business,AMER,20
126,Summit Labs Distribution Agreement,71929,appointmentscheduled,03/11/2022,125,300,True,Upsell,LATAM,10
127,Fusion Co Distribution Agreement,,closedwon,2023-10-25,58,369,1,Cross-sell,APAC,15
128,Acme Global Upgrade,66566.53,decisionmakerboughtin,2022-05-22,248,264,True,Upsell,LATAM,0
129,Pied Piper Networks Platform Deal,28215.7,appointmentscheduled,2021-08-11,241,254,False,Upsell,AMER,10
130,Zenith Labs Renewal,"$60,039.76",closedwon,10-22-2021,272,242,1,Upsell,APAC,20
131,Apex Enterprises Upgrade,112036.88,decisionmakerboughtin,2022-03-10,214,400,False,Cross-sell,LATAM,15%
132,Catalyst Networks Consulting,"$125,050",contractsent,2023-04-07,29,210,True,Cross-sell,APAC,20
133,Soylent Partners Distribution Agreement,142854.76,appointmentscheduled,2022-12-16,111,317,0,Cross-sell,LATAM,5
134,Wonka Co Renewal,17543,closedlost,2022-05-18,193,31,0,New Business,APAC,25
135,Pied Piper Works Upgrade,99442.93,closedwon,2021-08-08,78,302,1,Renewal,EMEA,5
136,Anchor Inc Distribution Agreement,"$112,399.89",qualifiedtobuy,2022/06/11,161,185,True,Cross-sell,LATAM,15
137,Stark Global Consulting,81282.6,closedwon,2022-01-17,271,31,1,Renewal,EMEA,25%
138,Catalyst Holdings Renewal,113034.2,closedwon,2021-10-15,286,400,1,Cross-sell,APAC,15
139,Pied Piper Works Consulting,65427,qualifiedtobuy,2022-09-25,78,334,False,Renewal,EMEA,20
140,Orbit Co Licensing Deal,86591.32,decisionmakerboughtin,2023-08-21,116,166,False,Upsell,AMER,5%
141,Nova Group - Q2 Expansion,99066.89,closedwon,2022-02-11,14,274,1,Upsell,LATAM,10%
142,Massive Technologies Platform Deal,57682.07,appointmentscheduled,2021-08-28,182,14,False,Cross-sell,AMER,5
143,Stellar Corp Platform Deal,62854.05,qualifiedtobuy,2022-12-20,64,48,True,New Business,APAC,15
144,Sirius Works - Q4 Expansion,127323.42,contractsent,2022-06-10,234,9,True,New Business,LATAM,15%
145,Horizon Enterprises Platform Deal,10116.04,qualifiedtobuy,2023-03-05,166,24,True,Renewal,APAC,20
146,Wayne Studio Platform Deal,136438.15,decisionmakerboughtin,2021/01/16,89,90,True,Renewal,EMEA,0
147,Sirius Inc Platform Deal,"$63,562",appointmentscheduled,2021-02-01,18,377,True,Cross-sell,LATAM,20
148,Hooli Corp Distribution Agreement,"$127,943.30",decisionmakerboughtin,2023/11/23,1,160,Yes,Upsell,AMER,5
149,Gringotts Technologies Renewal,86997.9,qualifiedtobuy,2022-12-15,207,145,False,Upsell,APAC,15
150,Sirius Inc Licensing Deal,"$60,117",qualifiedtobuy,2021-11-02,18,383,True,Cross-sell,APAC,5
151,Atlas LLC Distribution Agreement,51265.2,contractsent,2021-12-09,296,208,False,Upsell,APAC,10
152,Massive Networks Renewal,"$144,748.28",closedwon,2022-02-26,282,234,1,Cross-sell,EMEA,0
153,Initech Group Distribution Agreement,149783,closedwon,2021-09-06,178,158,1,Upsell,EMEA,5
154,Pied Piper Works - Q3 Expansion,25679.69,closedwon,12-17-2021,78,289,1,Upsell,AMER,20
155,Nova Holdings - Q4 Expansion,,decisionmakerboughtin,2022/08/11,104,143,False,Renewal,APAC,5
156,Nova Dynamics Licensing Deal,29812.32,qualifiedtobuy,2021/07/26,35,31,True,New Business,AMER,10%
157,Beacon Ventures Platform Deal,115977.05,contractsent,2022/01/21,300,345,Yes,Upsell,LATAM,10
158,Nova Networks Renewal,26099.95,decisionmakerboughtin,2022-05-04,233,79,True,Cross-sell,APAC,5
159,Wayne Works Distribution Agreement,76665.71,contractsent,2022-12-24,186,124,1,Renewal,APAC,0%
160,Catalyst Dynamics Distribution Agreement,125774.39,closedwon,2022/11/09,249,125,1,Cross-sell,EMEA,20%
161,Duff Collective Renewal,86428.39,qualifiedtobuy,2022/12/24,51,295,False,Cross-sell,LATAM,25
162,Titan Global Consulting,102768.74,decisionmakerboughtin,2023-08-28,93,13,True,Upsell,APAC,15
163,Hooli Inc Platform Deal,"$117,364",closedwon,2023-11-11,135,394,1,New Business,APAC,10
164,Wonka Enterprises Upgrade,28742.63,closedlost,2021-11-13,117,163,0,Renewal,LATAM,10
165,Wayne Works Platform Deal,113758.82,decisionmakerboughtin,2023-05-17,186,387,0,Cross-sell,EMEA,5%
166,Oscorp Studio Platform Deal,143455.17,closedwon,2022-07-05,208,135,1,Renewal,EMEA,10
167,Umbrella LLC Platform Deal,2850.33,appointmentscheduled,2021-04-15,21,126,True,New Business,LATAM,15
168,Initech Global Licensing Deal,58678.47,closedwon,2023-07-21,291,99,1,Renewal,APAC,15
169,Horizon Ventures Consulting,119538.0,closedlost,2021-06-28,121,164,0,New Business,LATAM,20
170,Wonka Enterprises Consulting,143021,contractsent,2022-10-15,117,369,True,Cross-sell,EMEA,10
171,Pied Piper Co Consulting,107328.22,closedlost,2022-10-09,33,350,0,Upsell,LATAM,5
172,Apex Group Support Contract,18832.82,qualifiedtobuy,2021-10-02,156,170,False,New Business,LATAM,25%
173,Nimbus Dynamics - Q4 Expansion,142405.45,closedlost,2021/06/03,92,93,0,Cross-sell,LATAM,25
174,Nova Studio Upgrade,53328.9,qualifiedtobuy,2022-02-06,94,50,False,New Business,APAC,15
175,Aperture Works - Q1 Expansion,,closedlost,02/2022,11,311,0,Renewal,LATAM,10%
176,Wonka Systems Renewal,"$102,793",qualifiedtobuy,2021-09-07,289,192,False,Upsell,LATAM,25
177,Globex Ventures Distribution Agreement,47438.14,closedwon,2021-09-26,260,77,1,Renewal,AMER,20
178,Compass Holdings Platform Deal,55488.33,contractsent,2022-02-22,255,99,False,Cross-sell,AMER,15%
179,Beacon Global Renewal,78729.25,closedlost,2023-06-17,246,338,0,Upsell,APAC,10%
180,Oscorp Group Licensing Deal,58932.49,contractsent,2021-08-04,150,321,False,Renewal,EMEA,20
181,Cobalt Ventures Platform Deal,53413.08,closedlost,2021/09/01,46,158,0,Cross-sell,AMER,20
182,Nimbus Enterprises Distribution Agreement,138390.86,qualifiedtobuy,04/2023,110,51,True,New Business,APAC,0
183,Summit Enterprises Licensing Deal,39469.61,decisionmakerboughtin,2021-03-05,170,91,False,Renewal,AMER,25
184,Anchor Solutions Licensing Deal,115301,decisionmakerboughtin,2022/05/20,6,213,True,Upsell,EMEA,25%
185,Beacon Networks Platform Deal,43421.02,qualifiedtobuy,2023-12-23,251,35,False,New Business,EMEA,15
186,Oscorp Partners Distribution Agreement,28487.27,qualifiedtobuy,04/08/2022,45,285,True,New Business,AMER,15
187,Catalyst Collective - Q2 Expansion,138354.13,qualifiedtobuy,2023-01-05,74,227,True,Upsell,EMEA,15
188,Summit Works Support Contract,66639.04,closedlost,2021-06-22,259,33,0,Renewal,AMER,5
189,Fusion Co Renewal,"$48,926.78",closedwon,2023-01-20,58,351,1,Upsell,EMEA,15%
190,Cyberdyne Dynamics Renewal,97073.73,closedlost,2021/10/18,199,394,0,Cross-sell,LATAM,25%
191,Oscorp Technologies Distribution Agreement,145138.13,qualifiedtobuy,2021-03-10,129,177,False,Upsell,APAC,25%
192,Catalyst Collective Distribution Agreement,61463.06,closedlost,2023/04/13,74,22,0,Cross-sell,LATAM,15
193,Wonka Partners Licensing Deal,142252.75,closedlost,04-08-2023,173,167,0,Renewal,LATAM,20
194,Soylent Ventures Upgrade,116412.07,contractsent,2023-11-15,192,330,1,New Business,AMER,5
195,Sirius Group Licensing Deal,96544.48,contractsent,10/2022,197,265,0,Upsell,AMER,15
196,Beacon Labs Distribution Agreement,"$15,462.63",closedwon,2023-09-24,67,391,1,New Business,EMEA,10
197,Beacon Studio Platform Deal,"$51,454",decisionmakerboughtin,2023-06-19,183,104,False,New Business,AMER,5%
198,Fusion Group Distribution Agreement,"$15,463",closedlost,2021-02-22,210,82,0,Cross-sell,LATAM,15%
199,Wayne Works Platform Deal,101928.6,appointmentscheduled,02-12-2022,186,226,False,New Business,AMER,25
200,Nimbus Collective Distribution Agreement,77500.0,closedwon,2023-07-06,43,182,1,New Business,LATAM,10
201,Umbrella Collective Upgrade,99252.17,contractsent,2021-05-24,123,359,False,New Business,AMER,20%
202,Meridian Systems Support Contract,149054.31,contractsent,2023-07-11,155,195,False,Renewal,AMER,10
203,Beacon Networks Upgrade,121802.51,contractsent,2023-06-28,251,145,True,New Business,AMER,0%
204,Oscorp Collective Renewal,145397.35,appointmentscheduled,2023-02-05,293,122,False,Renewal,EMEA,20%
205,Cyberdyne Industries Renewal,107829.9,appointmentscheduled,2021-07-26,103,382,True,Upsell,LATAM,5
206,Cyberdyne Studio Upgrade,"$86,739.68",contractsent,2021-03-07,96,241,1,New Business,AMER,5
207,Wonka Enterprises Licensing Deal,123845.82,closedwon,2022-09-21,117,84,1,New Business,APAC,10
208,Pied Piper Co Consulting,2787.84,closedwon,2022-02-22,33,253,1,New Business,APAC,20
209,Anchor Dynamics Upgrade,149865,contractsent,2022-08-10,34,292,False,Upsell,EMEA,25
210,Acme Corp Licensing Deal,118451.53,contractsent,2023-07-14,237,167,True,Upsell,LATAM,10%
211,Wayne Studio Platform Deal,46224.8,appointmentscheduled,2021/05/11,89,78,No,Renewal,AMER,5
212,Wonka Labs Platform Deal,91564,closedlost,2021/06/04,222,223,0,Cross-sell,AMER,15
213,Titan Networks Upgrade,56629.85,closedwon,2021-10-05,82,174,1,Upsell,APAC,20
214,Cobalt Inc Licensing Deal,87005.75,qualifiedtobuy,2022-11-16,229,190,True,Upsell,AMER,10
215,Aperture Collective Support Contract,48926.58,contractsent,2022-09-04,118,363,True,Cross-sell,APAC,0
216,Vector Co Platform Deal,84719.81,appointmentscheduled,2023-01-11,142,365,True,Renewal,LATAM,10
217,Titan LLC Renewal,37985.74,closedlost,2021-12-07,97,306,0,New Business,APAC,10%
218,Summit Corp Licensing Deal,"$114,010",decisionmakerboughtin,2022-11-13,15,334,True,Cross-sell,APAC,5
219,Catalyst Works Platform Deal,94704.66,appointmentscheduled,2023/08/12,84,301,Yes,Cross-sell,AMER,10
220,Orbit Systems - Q1 Expansion,"$21,846.80",closedlost,2023-12-05,145,166,0,Upsell,EMEA,10
221,Nova Inc Renewal,"$67,826",contractsent,23/07/2023,212,176,False,Upsell,AMER,0
222,Apex Technologies Support Contract,95515.26,appointmentscheduled,2021-03-17,27,330,0,Renewal,LATAM,0
223,Massive Networks - Q2 Expansion,,closedwon,2021-04-08,282,35,1,New Business,APAC,20
224,Ember Partners - Q3 Expansion,49731.65,decisionmakerboughtin,2021-04-25,109,78,False,New Business,APAC,15%
225,Acme Collective Licensing Deal,45492.86,qualifiedtobuy,12/2021,263,395,No,Upsell,APAC,10
226,Aperture Collective Upgrade,31746.55,closedwon,05-01-2021,118,291,1,Cross-sell,APAC,15
227,Hooli Dynamics Distribution Agreement,93272.23,closedlost,20/02/2021,85,252,0,Renewal,EMEA,10
228,Titan Networks - Q3 Expansion,"$45,323.02",qualifiedtobuy,2023-06-03,82,50,False,Renewal,AMER,10
229,Wayne Technologies - Q4 Expansion,84059.28,qualifiedtobuy,2023-04-15,105,62,1,Cross-sell,EMEA,25
230,Oscorp Enterprises Licensing Deal,10388.53,appointmentscheduled,2022-03-01,204,348,False,Renewal,APAC,25
231,Wonka Networks Upgrade,84282.72,qualifiedtobuy,2023-01-28,13,344,True,Upsell,EMEA,10
232,Sirius Works Platform Deal,96257.81,closedlost,2022-12-18,234,242,0,Cross-sell,APAC,15
233,Prism Global Distribution Agreement,70516.72,decisionmakerboughtin,2023-05-05,76,345,True,Upsell,EMEA,10
234,Meridian Ventures Consulting,63427,closedwon,2021-04-27,75,307,1,New Business,EMEA,20%
235,Hooli Dynamics Support Contract,86975.9,contractsent,2023-07-17,85,379,Yes,New Business,AMER,25
236,Titan LLC - Q1 Expansion,32177.36,contractsent,2023-05-08,97,367,1,Upsell,EMEA,0%
237,Cyberdyne Studio Renewal,45732.11,decisionmakerboughtin,2022-06-22,96,398,True,Upsell,APAC,15
238,Summit Industries Distribution Agreement,81313,contractsent,2022-12-16,22,348,True,Renewal,LATAM,0
239,Oscorp Partners Upgrade,70922.65,appointmentscheduled,2022-07-24,45,244,1,Cross-sell,AMER,20
240,Unknown Co - Q4 Expansion,98401,appointmentscheduled,2022-12-19,304,304,False,New Business,LATAM,5
241,Catalyst Works Upgrade,,contractsent,2021-04-16,84,21,0,Upsell,LATAM,0
242,Nimbus Systems Support Contract,66276.5,closedlost,02/2021,299,253,0,Cross-sell,EMEA,25
243,Anchor Global Licensing Deal,54288.75,appointmentscheduled,2021-02-03,279,55,False,Upsell,AMER,0%
244,Cyberdyne Studio Support Contract,"$118,709",closedlost,2023-06-18,96,341,0,New Business,EMEA,5%
245,Meridian Technologies Consulting,2319.77,closedwon,2021-02-17,201,6,1,Upsell,APAC,5
246,Titan LLC Distribution Agreement,11566.86,contractsent,2022-09-21,97,340,0,Upsell,EMEA,15
247,Cobalt Labs Support Contract,65348.78,closedlost,2022-04-27,290,85,0,Cross-sell,EMEA,5
248,Meridian Technologies Support Contract,116191.78,contractsent,11/2023,201,231,False,New Business,LATAM,0
249,Meridian Ventures - Q3 Expansion,137979.69,decisionmakerboughtin,2023-06-10,75,396,False,Cross-sell,LATAM,15
250,Hooli Holdings Platform Deal,94739.08,decisionmakerboughtin,2022-09-17,287,350,No,Renewal,AMER,10
251,Umbrella Collective Support Contract,100783,decisionmakerboughtin,2023-11-14,123,290,Yes,Upsell,APAC,5
252,Fusion Labs Consulting,31654.34,contractsent,2021-12-24,278,284,True,Renewal,AMER,25
253,Meridian Technologies Upgrade,145010.54,closedwon,2022-03-09,201,248,1,Cross-sell,EMEA,0%
254,Atlas Systems Upgrade,"$18,797",qualifiedtobuy,2023/08/20,254,233,False,New Business,EMEA,0
255,Nimbus Ventures Renewal,43344.03,qualifiedtobuy,2021-02-11,138,66,1,Upsell,APAC,20
256,Soylent Industries Consulting,111327.96,qualifiedtobuy,09-20-2021,12,284,False,Renewal,LATAM,0%
257,Anchor Industries Distribution Agreement,129273.39,qualifiedtobuy,2021-01-08,114,124,False,Cross-sell,AMER,5%
258,Duff Labs Platform Deal,101323.36,closedwon,2022-01-18,228,227,1,Renewal,APAC,0
259,Duff Works Support Contract,38066.08,qualifiedtobuy,2021/07/07,227,311,False,Upsell,LATAM,20
