company_id,company_name,domain,industry,number_of_employees,is_customer,created_date,account_manager,renewal_date,is_key_account
23,Ember Co,emberco.com,Biotech,1336,True,2022-01-06,Ellen Ford,2025-11-28,0
24,Stark Dynamics,starkdynamics.com,Technology,3860,No,2022-05-27,Carlos Mendes,2024/01/22,True
25,Stellar Labs,stellarlabs.com,Insurance,3279,False,2021/02/09,Priya Nair,2024-10-14,False
26,Lantern Global,lanternglobal.com,Pharmaceuticals,3160,True,2022-01-23,Hana Kobayashi,2026-11-24,True
27,Apex Technologies,apextechnologies.com,Finance,2709,True,2023-05-17,Tariq Osei,2025-07-23,No
28,Fusion Enterprises,fusionenterprises.com,Agriculture,4667,True,2022-05-07,Hana Kobayashi,2026-11-11,True
29,Catalyst Networks,catalystnetworks.com,Defense,699,False,2021-04-22,Carlos Mendes,2024/01/02,True
30,Prism Technologies,prismtechnologies.com,Hospitality,1597,False,08/07/2022,Priya Nair,2025-04-06,False
31,Umbrella Works,umbrellaworks.com,Biotech,999,False,2023-09-18,Tariq Osei,2026-12-17,False
32,Gringotts Networks,gringottsnetworks.com,Construction,2128,False,2023/08/21,Priya Nair,2026-05-08,True
33,Pied Piper Co,piedpiperco.com,Biotech,3142,True,2021-07-14,Tariq Osei,2025-01-07,True
34,Anchor Dynamics,anchordynamics.com,Telecom,53,False,2022-07-18,Hana Kobayashi,2026/04/16,False
35,Nova Dynamics,novadynamics.com,Defense,3833,True,2022-10-19,Priya Nair,2026-07-05,Yes
36,Fusion Solutions,fusionsolutions.com,R&D,3729,False,2022-07-09,Tariq Osei,2024/12/18,1
37,Initech Corp,initechcorp.com,Biotech,1638,True,2021-03-16,Hana Kobayashi,2024-08-23,True
38,Gringotts Partners,gringottspartners.com,Pharmaceuticals,4745,Yes,2023-11-13,Liam O'Connor,2024-02-19,True
39,Nimbus Studio,nimbusstudio.com,Pharmaceuticals,4641,False,2023-07-22,Hana Kobayashi,2026-06-01,True
40,Titan Labs,titanlabs.com,Construction,1258,False,2023-09-25,Tariq Osei,2026-10-09,1
41,Stellar Ventures,stellarventures.com,Biotech,3811,False,2022-01-16,Carlos Mendes,2025-04-12,False
42,Horizon Inc,horizoninc.com,Finance,1982,False,2023-04-23,Liam O'Connor,2025/08/26,0
43,Nimbus Collective,nimbuscollective.com,Logistics,3881,False,2022-12-18,Liam O'Connor,2025-05-10,0
44,Quantum Group,quantumgroup.com,Education,1521,No,2022-12-19,Hana Kobayashi,2026-05-04,False
45,Oscorp Partners,oscorppartners.com,Manufacturing,4380,1,2021-09-10,Carlos Mendes,2026-08-04,False
46,Cobalt Ventures,cobaltventures.com,Healthcare,1515,False,2022/02/27,Priya Nair,11-22-2026,False
47,Wayne Systems,waynesystems.com,Pharmaceuticals,4576,True,2023-07-15,Ellen Ford,2026-07-10,1
48,Aperture Inc,apertureinc.com,Robotics,670,0,2023/02/06,Liam O'Connor,2026/08/10,False
49,Soylent Systems,soylentsystems.com,Robotics,4836,True,02-18-2022,Ellen Ford,2024/02/02,False
50,Atlas Group,atlasgroup.com,Construction,2496,False,2023-09-16,Hana Kobayashi,2024-07-24,True
51,Duff Collective,duffcollective.com,Hospitality,174,False,2023-01-25,Tariq Osei,2026-11-15,No
52,Meridian LLC,meridianllc.com,Telecom,2855,False,2023/02/28,Liam O'Connor,2025-05-22,True
53,Prism LLC,prismllc.com,Healthcare,2072,False,2023-01-22,Tariq Osei,2025-01-07,False
54,Atlas Industries,atlasindustries.com,R&D,2192,False,12/2022,Carlos Mendes,2026-03-10,True
55,Duff Group,duffgroup.com,Construction,967,True,2022-12-10,Ellen Ford,08/2025,0
56,Pied Piper LLC,piedpiperllc.com,Robotics,3404,False,2021-05-24,Hana Kobayashi,2026-11-16,False
57,Zenith Solutions,zenithsolutions.com,Education,4456,False,2021-12-08,Carlos Mendes,2025-01-11,False
58,Fusion Co,fusionco.com,Telecom,308,Yes,2021-08-04,Tariq Osei,2024-12-05,True
59,Soylent Networks,soylentnetworks.com,Robotics,2778,False,2023-02-28,Liam O'Connor,2026-07-11,False
60,Ember LLC,emberllc.com,Biotech,2359,True,2022-02-25,Priya Nair,2025-03-23,Yes
61,Umbrella Partners,umbrellapartners.com,Logistics,3075,True,2023-07-19,Carlos Mendes,2024-03-03,True
62,Meridian Collective,meridiancollective.com,Food & Beverage,1907,False,2022/05/22,Ellen Ford,2026/09/06,False
63,Titan Holdings,titanholdings.com,Construction,2479,No,2022-02-08,Ellen Ford,2026-05-23,False
64,Stellar Corp,stellarcorp.com,Hospitality,406,False,2022-04-20,Carlos Mendes,2026-04-20,True
65,Stark Industries,starkindustries.com,Retail,3616,Yes,2023-03-03,Ellen Ford,07/2026,False
66,Horizon Global,horizonglobal.com,Robotics,1352,False,2022-12-28,Priya Nair,2025-02-05,No
67,Beacon Labs,beaconlabs.com,Finance,3237,1,2022-06-22,Ellen Ford,2026-07-27,True
68,Cobalt Corp,cobaltcorp.com,Agriculture,4604,True,2023-02-21,Liam O'Connor,14/11/2025,False
69,Meridian Group,meridiangroup.com,Pharmaceuticals,1928,True,2022-08-12,Liam O'Connor,2026-09-14,False
70,Stark Networks,starknetworks.com,Agriculture,3348,False,2021/12/12,Carlos Mendes,2025-02-22,False
71,Umbrella Dynamics,umbrelladynamics.com,Robotics,1559,False,2021-11-07,Hana Kobayashi,2024-01-26,True
72,Soylent Works,soylentworks.com,R&D,4808,0,2022-03-26,Priya Nair,2025-03-05,True
73,Globex Co,globexco.com,Manufacturing,2939,True,01/06/2023,Carlos Mendes,17/07/2026,False
74,Catalyst Collective,catalystcollective.com,Pharmaceuticals,3707,True,2023-11-17,Liam O'Connor,2024-01-16,True
75,Meridian Ventures,meridianventures.com,Finance,666,True,2021-03-09,Hana Kobayashi,2026-12-11,False
76,Prism Global,prismglobal.com,Agriculture,3529,1,2023-11-25,Carlos Mendes,2025-08-08,False
77,Vector Group,vectorgroup.com,Healthcare,3501,False,2022-03-22,Priya Nair,2024-02-03,False
78,Pied Piper Works,piedpiperworks.com,Technology,4809,False,2023-02-14,Liam O'Connor,2025-12-02,False
79,Stark Collective,starkcollective.com,Insurance,1747,No,2021-02-12,Ellen Ford,2024/05/19,True
80,Globex Enterprises,globexenterprises.com,Robotics,2536,False,2021/03/28,Priya Nair,2024-12-21,0
81,Fusion Technologies,fusiontechnologies.com,Construction,2797,Yes,2023-06-25,Hana Kobayashi,01/2024,1
82,Titan Networks,titannetworks.com,Agriculture,3626,True,2023-02-12,Ellen Ford,2026-11-19,True
83,Duff Dynamics,duffdynamics.com,Agriculture,453,Yes,2021-03-25,Ellen Ford,2024-01-16,No
84,Catalyst Works,catalystworks.com,Logistics,595,True,2022-01-15,Ellen Ford,2026-07-19,False
85,Hooli Dynamics,hoolidynamics.com,Manufacturing,2665,No,2023-06-03,Priya Nair,2024-07-19,Yes
86,Nova Systems,novasystems.com,Healthcare,1382,1,2023-09-07,Ellen Ford,2025-12-27,1
87,Massive Holdings,massiveholdings.com,R&D,1426,True,2021-11-16,Hana Kobayashi,2026-08-22,False
88,Quantum Co,quantumco.com,Construction,564,False,2022-10-02,Priya Nair,2025/08/15,True
89,Wayne Studio,waynestudio.com,Agriculture,4158,True,10/2022,Tariq Osei,2026-03-02,False
90,Wayne Global,wayneglobal.com,Defense,325,No,2022-09-17,Ellen Ford,2025-05-13,True
91,Nova LLC,novallc.com,Healthcare,779,False,2022-05-24,Hana Kobayashi,2024-06-03,Yes
92,Nimbus Dynamics,nimbusdynamics.com,Food & Beverage,4879,True,2022-09-13,Ellen Ford,2024-11-23,True
93,Titan Global,titanglobal.com,Logistics,154,True,2021-06-25,Carlos Mendes,2024-03-03,True
94,Nova Studio,novastudio.com,Food & Beverage,4897,True,2021-12-25,Carlos Mendes,2026-08-02,True
95,Atlas Studio,atlasstudio.com,Retail,3682,0,08/2022,Tariq Osei,2025-05-25,True
96,Cyberdyne Studio,cyberdynestudio.com,Food & Beverage,2053,No,2022-09-04,Hana Kobayashi,2024-05-03,True
97,Titan LLC,titanllc.com,Biotech,3700,True,2022-01-13,Carlos Mendes,2025/02/12,False
98,Massive Co,massiveco.com,Technology,2355,False,2023-03-25,Tariq Osei,01-03-2026,False
99,Hooli Partners,hoolipartners.com,Biotech,2472,0,2022-11-26,Priya Nair,2024-08-20,True
100,Massive Partners,massivepartners.com,Energy,17,True,2023-07-06,Priya Nair,2026-06-03,True
101,Fusion Networks,fusionnetworks.com,Technology,3174,False,2023-01-12,Ellen Ford,2024-12-22,False
102,Pied Piper Industries,piedpiperindustries.com,Logistics,4477,True,2023-08-23,Carlos Mendes,2024-02-23,False
103,Cyberdyne Industries,cyberdyneindustries.com,R&D,348,False,2023-07-27,Ellen Ford,2024-11-07,True
104,Nova Holdings,novaholdings.com,Pharmaceuticals,3019,False,2023-08-13,Carlos Mendes,2025-12-16,False
105,Wayne Technologies,waynetechnologies.com,Finance,3532,True,2023/05/11,Liam O'Connor,2025-05-15,False
106,Zenith Ventures,zenithventures.com,Technology,2893,False,2022-11-26,Priya Nair,2026-11-13,True
107,Lantern Ventures,lanternventures.com,Technology,1039,Yes,07-19-2022,Liam O'Connor,2025-06-12,0
108,Horizon Labs,horizonlabs.com,Media,2580,True,01/2021,Tariq Osei,2026-02-09,True
109,Ember Partners,emberpartners.com,Telecom,1644,1,2022-03-23,Priya Nair,2026-06-22,Yes
110,Nimbus Enterprises,nimbusenterprises.com,Defense,2966,True,2021-03-08,Priya Nair,2025-09-19,True
111,Soylent Partners,soylentpartners.com,Media,3926,False,2023-02-05,Liam O'Connor,2024-08-15,True
112,Pied Piper Technologies,piedpipertechnologies.com,Insurance,458,True,2022-03-06,Liam O'Connor,2024-06-17,False
113,Cyberdyne Works,cyberdyneworks.com,Robotics,1030,True,2023-11-06,Hana Kobayashi,2024-03-22,False
114,Anchor Industries,anchorindustries.com,Manufacturing,670,Yes,2023-04-25,Hana Kobayashi,2026-01-16,False
115,Cobalt Systems,cobaltsystems.com,Media,2441,True,2021-08-14,Carlos Mendes,2025-10-05,False
116,Orbit Co,orbitco.com,Logistics,4223,False,2021-08-04,Carlos Mendes,2024-02-02,False
117,Wonka Enterprises,wonkaenterprises.com,Healthcare,4737,True,2021-08-17,Ellen Ford,2025-01-03,True
118,Aperture Collective,aperturecollective.com,Logistics,403,No,2023-11-22,Hana Kobayashi,2024/02/14,False
119,Apex Industries,apexindustries.com,Media,424,True,09/2022,Tariq Osei,2026-05-27,True
120,Pied Piper Group,piedpipergroup.com,Media,3062,False,06/2023,Hana Kobayashi,09-02-2025,False
121,Horizon Ventures,horizonventures.com,Food & Beverage,4971,True,10/2022,Liam O'Connor,2025-10-11,False
122,Anchor Partners,anchorpartners.com,Telecom,141,True,2022-10-10,Liam O'Connor,2026-11-01,True
123,Umbrella Collective,umbrellacollective.com,Telecom,1401,False,08/11/2021,Carlos Mendes,2024-08-11,True
124,Vector Global,vectorglobal.com,Agriculture,3868,True,2023/03/17,Liam O'Connor,2025-09-13,Yes
125,Summit Labs,summitlabs.com,Robotics,3971,0,2022/09/10,Ellen Ford,2026-04-23,False
126,Beacon Holdings,beaconholdings.com,Retail,1003,False,2022-06-25,Ellen Ford,2024/05/23,False
127,Summit Holdings,summitholdings.com,Education,2230,0,2021-01-22,Carlos Mendes,2026/04/02,True
128,Pied Piper Corp,piedpipercorp.com,Education,1298,False,2022-11-07,Ellen Ford,21/05/2025,True
129,Oscorp Technologies,oscorptechnologies.com,Defense,302,False,2022-03-24,Ellen Ford,2024-01-10,Yes
130,Vertex Ventures,vertexventures.com,Education,4300,True,09/08/2023,Ellen Ford,2024-12-15,True
131,Nova Partners,novapartners.com,Hospitality,1587,No,11/09/2022,Carlos Mendes,2024-08-11,No
132,Wonka Ventures,wonkaventures.com,Robotics,2705,True,2022-11-12,Priya Nair,2026-02-15,False
133,Apex Studio,apexstudio.com,Biotech,1800,False,2021-08-24,Ellen Ford,2025-12-18,True
134,Wonka Studio,wonkastudio.com,Finance,4309,False,10/2021,Hana Kobayashi,2024/10/18,False
135,Hooli Inc,hooliinc.com,Hospitality,4009,No,2021-08-05,Tariq Osei,2026-01-18,True
136,Orbit Holdings,orbitholdings.com,Manufacturing,1790,True,23/06/2022,Priya Nair,2025-01-10,False
137,Apex Dynamics,apexdynamics.com,Construction,3097,True,06/2023,Tariq Osei,2026-03-24,True
138,Nimbus Ventures,nimbusventures.com,Education,3479,True,08-12-2021,Liam O'Connor,2024-01-26,True
139,Wonka Inc,wonkainc.com,Finance,831,False,2023-11-23,Carlos Mendes,2026-01-13,True
140,Pied Piper Global,piedpiperglobal.com,Retail,1923,False,2023-10-25,Ellen Ford,2024-05-05,False
141,Nimbus Holdings,nimbusholdings.com,Technology,4565,True,2023-11-14,Priya Nair,2025-11-22,False
142,Vector Co,vectorco.com,Retail,3088,No,2021-04-10,Carlos Mendes,2025-01-18,True
143,Fusion Systems,fusionsystems.com,Robotics,1670,True,2022-06-03,Carlos Mendes,2024-05-13,True
144,Cyberdyne Collective,cyberdynecollective.com,Education,1782,False,2022-01-07,Liam O'Connor,2024-12-25,0
145,Orbit Systems,orbitsystems.com,Education,2639,False,2022-09-21,Ellen Ford,2025-09-16,False
146,Quantum Inc,quantuminc.com,Logistics,2568,True,2023-03-01,Hana Kobayashi,2026-12-14,0
147,Fusion Collective,fusioncollective.com,Biotech,4095,False,2022-08-24,Tariq Osei,2025-03-24,No
148,Oscorp Works,oscorpworks.com,Technology,4297,1,01-25-2023,Liam O'Connor,02-23-2024,False
149,Umbrella Studio,umbrellastudio.com,Agriculture,3963,True,2021-09-18,Priya Nair,2026-12-09,False
150,Oscorp Group,oscorpgroup.com,Pharmaceuticals,4300,0,2023-09-09,Ellen Ford,2025-02-12,True
151,Duff Partners,duffpartners.com,Finance,264,No,16/09/2022,Liam O'Connor,2024-02-16,False
152,Anchor Group,anchorgroup.com,Insurance,353,No,2022-01-03,Ellen Ford,2026/10/22,0
153,Compass Co,compassco.com,Media,635,True,2023-07-22,Ellen Ford,2025-12-05,True
154,Catalyst Labs,catalystlabs.com,Technology,805,True,2022-10-25,Hana Kobayashi,2025-06-01,False
155,Meridian Systems,meridiansystems.com,Logistics,4535,False,2021-11-19,Priya Nair,26/05/2026,0
156,Apex Group,apexgroup.com,Finance,47,False,05-04-2022,Tariq Osei,2025-09-18,1
157,Zenith Works,zenithworks.com,Finance,4895,False,2022-01-10,Priya Nair,2026-09-08,No
158,Gringotts Co,gringottsco.com,Robotics,2471,True,2021-03-14,Ellen Ford,2025-02-12,No
159,Lantern Studio,lanternstudio.com,R&D,3755,Yes,2021-07-11,Tariq Osei,2025-08-11,True
160,Nimbus Solutions,nimbussolutions.com,Agriculture,1650,True,2022-06-10,Liam O'Connor,2025/10/26,False
161,Anchor Inc,anchorinc.com,Hospitality,4474,1,2023/08/23,Liam O'Connor,2024-07-22,True
162,Sirius Co,siriusco.com,Energy,3093,No,2023-07-18,Liam O'Connor,2025-09-02,True
163,Stark Systems,starksystems.com,Logistics,1367,True,2023-11-22,Ellen Ford,02-01-2025,True
164,Atlas Labs,atlaslabs.com,Media,3798,True,2022/01/16,Priya Nair,2024-12-05,True
165,Horizon Networks,horizonnetworks.com,Logistics,3905,No,10/02/2022,Priya Nair,2025-11-04,0
166,Horizon Enterprises,horizonenterprises.com,Education,1316,False,2022-04-26,Carlos Mendes,2024-11-22,0
167,Atlas Collective,atlascollective.com,Energy,3190,0,2021-05-25,Priya Nair,2026-02-26,Yes
168,Cyberdyne Ventures,cyberdyneventures.com,Pharmaceuticals,2154,False,2023-11-11,Hana Kobayashi,2025-10-04,True
169,Compass LLC,compassllc.com,Food & Beverage,2570,Yes,2021-03-12,Hana Kobayashi,2025/07/20,False
170,Summit Enterprises,summitenterprises.com,Education,1371,True,2021-06-27,Priya Nair,2025/01/16,False
171,Vector Networks,vectornetworks.com,Energy,3641,True,2023-01-26,Ellen Ford,2024-05-08,No
172,Anchor Networks,anchornetworks.com,Education,4189,1,2022-09-27,Hana Kobayashi,2024-12-15,True
173,Wonka Partners,wonkapartners.com,Technology,3689,True,2022-02-25,Carlos Mendes,2026-10-23,False
174,Gringotts Studio,gringottsstudio.com,Food & Beverage,1697,True,2023-06-18,Hana Kobayashi,2024-06-23,True
175,Umbrella Holdings,umbrellaholdings.com,Food & Beverage,1092,Yes,2021-11-13,Hana Kobayashi,2026-05-21,True
176,Orbit Global,orbitglobal.com,Robotics,3028,False,2022-10-01,Liam O'Connor,2024-12-15,True
177,Summit Dynamics,summitdynamics.com,R&D,3524,False,2022-06-27,Hana Kobayashi,2026-03-19,True
178,Initech Group,initechgroup.com,Construction,138,0,2022-08-01,Tariq Osei,2024-12-05,False
179,Wayne Labs,waynelabs.com,Robotics,680,True,2021-07-21,Liam O'Connor,21/07/2024,No
180,Soylent Co,soylentco.com,Hospitality,1857,False,2021-01-23,Priya Nair,2025-12-05,1
181,Stark Group,starkgroup.com,Healthcare,3016,True,2022-03-21,Carlos Mendes,09-19-2024,True
182,Massive Technologies,massivetechnologies.com,Agriculture,3629,True,2021/03/25,Ellen Ford,2025/06/26,True
183,Beacon Studio,beaconstudio.com,Agriculture,4982,True,2023-05-07,Hana Kobayashi,2024-12-13,0
184,Meridian Dynamics,meridiandynamics.com,Pharmaceuticals,1979,True,2023-01-12,Carlos Mendes,2025-10-14,False
185,Soylent Corp,soylentcorp.com,Hospitality,558,0,2021-01-26,Ellen Ford,2026-12-17,False
186,Wayne Works,wayneworks.com,Education,1255,False,2021-09-07,Carlos Mendes,2026-06-13,True
187,Nimbus Technologies,nimbustechnologies.com,Biotech,479,No,2021-08-20,Ellen Ford,2026-12-22,0
188,Acme Enterprises,acmeenterprises.com,Telecom,2845,False,2021-06-05,Ellen Ford,2026-02-25,False
189,Stellar Global,stellarglobal.com,Finance,2159,True,2022-08-17,Tariq Osei,12/03/2026,True
190,Duff Global,duffglobal.com,Manufacturing,365,True,2021-01-16,Carlos Mendes,2024-01-18,False
191,Duff Solutions,duffsolutions.com,Biotech,3414,False,2022-02-19,Hana Kobayashi,01/2026,False
192,Soylent Ventures,soylentventures.com,Retail,2550,False,2021-06-07,Ellen Ford,2026-10-08,False
193,Wonka Co,wonkaco.com,Manufacturing,3364,Yes,2023-12-01,Priya Nair,2026-07-28,True
194,Horizon Systems,horizonsystems.com,Energy,4035,True,05-03-2023,Hana Kobayashi,2025-12-12,True
195,Catalyst Co,catalystco.com,Media,618,True,2022/11/05,Ellen Ford,2025-12-27,False
196,Duff LLC,duffllc.com,R&D,1120,True,2021-02-06,Ellen Ford,2025-02-18,False
197,Sirius Group,siriusgroup.com,Finance,1296,False,2023/12/20,Carlos Mendes,2024-12-08,True
198,Oscorp Corp,oscorpcorp.com,Media,3709,True,2021-08-04,Carlos Mendes,2024-01-02,True
199,Cyberdyne Dynamics,cyberdynedynamics.com,Logistics,693,False,2021/01/03,Carlos Mendes,2024/06/04,No
200,Orbit Networks,orbitnetworks.com,Manufacturing,3140,True,2022-04-06,Tariq Osei,2024-01-20,Yes
201,Meridian Technologies,meridiantechnologies.com,Education,3929,Yes,03/2022,Carlos Mendes,2026/09/26,False
202,Cobalt Works,cobaltworks.com,Telecom,2823,False,05/2022,Carlos Mendes,2024-05-02,False
203,Compass Systems,compasssystems.com,Defense,825,0,2022-09-27,Liam O'Connor,2024-04-19,False
204,Oscorp Enterprises,oscorpenterprises.com,Biotech,4858,False,2023-01-23,Hana Kobayashi,2026-03-19,False
205,Summit Partners,summitpartners.com,Defense,4022,1,2021/10/08,Priya Nair,2025-10-07,True
206,Quantum Industries,quantumindustries.com,Manufacturing,1215,True,2021-09-28,Priya Nair,2025-12-22,Yes
207,Gringotts Technologies,gringottstechnologies.com,Telecom,2604,Yes,2021-11-19,Tariq Osei,2025-12-23,1
208,Oscorp Studio,oscorpstudio.com,Healthcare,1814,True,2022-03-11,Carlos Mendes,2025-06-06,False
209,Atlas Corp,atlascorp.com,Robotics,1722,1,26/05/2022,Priya Nair,2025-08-24,No
210,Fusion Group,fusiongroup.com,Telecom,4740,True,2021-08-03,Priya Nair,2025-01-11,Yes
211,Gringotts Dynamics,gringottsdynamics.com,Defense,619,True,2022-10-20,Liam O'Connor,2024/07/21,1
212,Nova Inc,novainc.com,R&D,3357,False,10/05/2023,Tariq Osei,2026-09-27,1
213,Vertex Studio,vertexstudio.com,Telecom,1640,0,2021-11-10,Tariq Osei,2024-05-26,False
214,Apex Enterprises,apexenterprises.com,Construction,370,False,2022-04-27,Priya Nair,2024/12/22,False
215,Beacon Industries,beaconindustries.com,Media,4285,False,2023-04-16,Tariq Osei,2026-01-17,True
216,Hooli Ventures,hooliventures.com,Defense,1374,True,2021/01/14,Carlos Mendes,2026-03-27,True
217,Wayne Dynamics,waynedynamics.com,Education,3260,False,08/2023,Hana Kobayashi,2026-07-04,1
218,Stark Partners,starkpartners.com,Education,2821,False,2022-11-16,Tariq Osei,2024-03-09,False
219,Initech Dynamics,initechdynamics.com,Healthcare,1951,No,2022-06-01,Ellen Ford,2025-05-27,True
220,Quantum Holdings,quantumholdings.com,Energy,4960,True,2022-04-27,Tariq Osei,06-27-2026,No
221,Anchor Corp,anchorcorp.com,Defense,1584,True,2021-04-02,Ellen Ford,2026-04-09,False
222,Wonka Labs,wonkalabs.com,Telecom,4871,False,2023-09-12,Ellen Ford,2026-12-03,True
223,Duff Systems,duffsystems.com,R&D,2209,True,2023-01-16,Liam O'Connor,2024/10/26,False
224,Stellar Technologies,stellartechnologies.com,Media,2861,True,2022-05-22,Hana Kobayashi,2025/10/04,False
225,Nimbus Group,nimbusgroup.com,Telecom,527,False,2023-06-28,Liam O'Connor,11/2026,True
226,Lantern Dynamics,lanterndynamics.com,Healthcare,1151,False,2022-05-14,Liam O'Connor,2024-10-23,False
227,Duff Works,duffworks.com,Telecom,2941,True,2023-09-06,Tariq Osei,2024-12-09,True
228,Duff Labs,dufflabs.com,Biotech,2520,False,2022-05-19,Priya Nair,2025-01-28,True
229,Cobalt Inc,cobaltinc.com,Insurance,986,False,05-14-2023,Carlos Mendes,2024-06-14,False
230,Massive Solutions,massivesolutions.com,Defense,667,True,2022/11/02,Carlos Mendes,25/10/2024,No
231,Titan Dynamics,titandynamics.com,Energy,3915,True,2023-04-24,Priya Nair,07/09/2025,True
232,Nimbus Co,nimbusco.com,Pharmaceuticals,3147,False,2021/02/27,Tariq Osei,2026-09-20,True
233,Nova Networks,novanetworks.com,Logistics,1548,No,2021-04-08,Carlos Mendes,2024-12-01,Yes
234,Sirius Works,siriusworks.com,Agriculture,403,True,2023-02-21,Priya Nair,2026-02-14,Yes
235,Cobalt Co,cobaltco.com,R&D,81,True,2023-09-09,Liam O'Connor,2024-07-27,True
236,Vertex Group,vertexgroup.com,Pharmaceuticals,4082,0,2022-09-07,Tariq Osei,2025-03-02,False
237,Acme Corp,acmecorp.com,Finance,909,False,2021-02-25,Liam O'Connor,2026-02-09,False
238,Sirius Ventures,siriusventures.com,Technology,822,True,2022-06-26,Tariq Osei,2026-02-04,True
239,Pied Piper Enterprises,piedpiperenterprises.com,Healthcare,2933,False,2023-02-12,Carlos Mendes,2024-07-13,False
240,Cobalt Technologies,cobalttechnologies.com,Defense,931,1,2021-02-14,Tariq Osei,2026/11/15,True
241,Pied Piper Networks,piedpipernetworks.com,Telecom,930,False,2021-02-09,Priya Nair,2026-11-17,True
242,Nova Global,novaglobal.com,Insurance,785,True,2022-06-22,Tariq Osei,09-20-2024,False
243,Meridian Enterprises,meridianenterprises.com,Finance,4032,False,2022/01/17,Tariq Osei,2024-02-15,True
244,Meridian Corp,meridiancorp.com,Pharmaceuticals,3309,True,2021-10-20,Hana Kobayashi,2026-04-21,False
245,Umbrella Systems,umbrellasystems.com,Construction,2724,False,2023-11-12,Priya Nair,2024/11/08,False
246,Beacon Global,beaconglobal.com,Logistics,875,0,2022-03-27,Liam O'Connor,2025-02-09,No
247,Aperture Ventures,apertureventures.com,R&D,2773,No,2021-11-27,Priya Nair,2025-08-22,False
248,Acme Global,acmeglobal.com,Technology,4537,False,2023-03-23,Liam O'Connor,2024-02-13,False
249,Catalyst Dynamics,catalystdynamics.com,Energy,4993,True,2022-07-11,Tariq Osei,2024-03-14,False
250,Beacon Solutions,beaconsolutions.com,Education,1785,Yes,06-22-2023,Hana Kobayashi,2026-12-21,Yes
251,Beacon Networks,beaconnetworks.com,Hospitality,4679,False,2023-12-27,Tariq Osei,09-04-2024,1
252,Cyberdyne Holdings,cyberdyneholdings.com,Defense,2352,True,2021-12-26,Hana Kobayashi,2024-06-27,True
253,Beacon Dynamics,beacondynamics.com,Biotech,4190,False,2023-11-02,Tariq Osei,2025-11-11,Yes
254,Atlas Systems,atlassystems.com,Logistics,4825,True,2023-04-10,Liam O'Connor,2024-03-06,1
255,Compass Holdings,compassholdings.com,Manufacturing,2712,True,2021-03-11,Liam O'Connor,2026-11-10,False
256,Soylent Solutions,soylentsolutions.com,Insurance,1806,True,2023-03-14,Tariq Osei,2024-06-08,False
257,Apex Partners,apexpartners.com,R&D,4350,True,2021-11-12,Liam O'Connor,2026-10-08,False
258,Fusion Holdings,fusionholdings.com,Education,2321,Yes,2023-09-15,Ellen Ford,2026-04-11,True
259,Summit Works,summitworks.com,Manufacturing,541,0,07/2023,Liam O'Connor,2026-07-21,0
